evento;destino;funcionario;cargo;organismo;financiado_por;fecha_inicio;fecha_fin
“VI CONFERENCIA REGIONAL Y V ASAMBLEA GENERAL DE LA RED MAMLa”;GUATEMALA;UCCIANI MARÍA FERNANDA;Jefe División Dominio Marítimo;Prefectura Nacional;Organización Marítima Internacional;2023-12-18;2023-12-23
29a Reunión Plenaria del Comité del Convenio sobre Ciberdelito del Consejo de Europa y la Conferencia Octopus;RUMANIA;CAGNONI EDUARDO ALBERTO;SECRETARIO DE 1RA;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;Consejo de Europa;2023-12-09;2023-12-17
"Curso Presencial ""aplicaciones hidrometeorologicas de los radares meteorologicos""";GUATEMALA;BAFFA EDUARDO LUCIO;ANALISTA TECNICO;Servicio Meteorológico Nacional;OMM;2023-11-12;2023-11-25
CONGRESO ALASBIMN;ARGENTINA;Poma Ana Lucía;Becaria A1P;Gerencia de Área Aplicaciones Nucleares a la Salud;COMISIÓN NACIONAL DE ENERGÍA ATÓMICA;2023-11-14;2023-11-19
Curso de capacitación;JAPÓN;Diaz Gonzalo Martin;Analista Científico en Servicios Climáticos con orientación en Recursos Hídricos;Ministerio de Defensa;JICA;2023-09-29;2023-12-15
Foro Climático / Reunión SISSA y regional III OMM;PARAGUAY;Skansi Maria de los MIlagros;Directora;Dirección Nacional de Ciencia e Innovación en Productos y Servicios;Organización Met. Mundial y Proyecto SISSA;2023-11-26;2023-12-01
ENCUENTRO PRESENCIAL DEL GRUPO OPERATIVO DE MONITOREO Y PRONÓSTICO DEL SISSA, Y DE LOS PUNTOS FOCALES DEL CRC-SAS/SISSA;PARAGUAY;Dominguez Diana Analía;Especialista de Aplicación Científica con orientación en Climatología;Dirección Nacional de Ciencia e Innovación en Productos y Servicios;Proyecto SISSA EUROCLIMA+;2023-11-28;2023-12-01
Strategic Needs Fellowship Programme;ESTADOS UNIDOS;Goya María Eugenia;SECRETARIOA DE 3RA;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;División de Asuntos Oceánicos y del Derecho del Mar (DOALOS), dependiente de la Oficina de Asuntos Jurídicos de la Secretaría de las Naciones Unidas.;2023-08-19;2023-12-17
Congreso ALASBIMN2023 (Asociación Latinoamericana de Sociedades de Biología y Medicina Nuclear);ARGENTINA;Fuentes Marcos Nicolás;Becario CNEA A1P;Gerencia de Área Aplicaciones Nucleares a la Salud;Comisión Nacional de Energía Atómica (CNEA);2023-11-14;2023-11-19
IAEA - TC - EVT2303171;ARGENTINA;Biolatti Vanesa;Responsable Dpto Inv Traslacional;Gerencia de Área Aplicaciones Nucleares a la Salud;IAEA;2023-11-26;2023-11-30
Reunion Anual de sociedades de biociencia 2023;ARGENTINA;Ausas Maria Soledad;Investigadora;Gerencia de Área Aplicaciones Nucleares a la Salud;CNEA;2023-11-14;2023-11-18
Programa de Profesionales de Laboratorios Regionales Aduaneros;COREA DEL SUR;GIETZ Valeria Naomi;Jefa de Sección;Dirección General de Aduanas;Organización Mundial de Aduanas;2023-10-14;2023-12-01
6th Annual Miami Thyroid Oncology Symposium;ESTADOS UNIDOS;SZTEJNBERG GONÇALVES CARRALVES Manuel Leonardo;Jefe de División;Ministerio de Economía;Miami Cancer Research Center;2023-10-24;2023-11-02
Sesión Estratégica sobre Normas de la OMSA;COSTA RICA;Dassa Lorena Andrea;Directora de Planificación y Estrategia de Sanidad Animal;Administración Pública Nacional;IICA;2023-11-27;2023-12-01
28° sesión del Consejo de la Autoridad de los Fondos Marinos;JAMAICA;Goya María Eugenia;Secretaria de Tercera;Dirección General de Consejería Legal Internacional;Autoridad Internacional de los Fondos Marinos;2023-07-08;2023-07-15
Taller: “Tecnologías y plataforma de sistemas de información analíticos como soporte de la Gestión de Riesgos de Cumplimiento: Experiencia y operatividad”;PERÚ;Passerini Pablo Nicolás;Director de Explotación de Datos;Subdirección General de Fiscalización;FMI;2023-09-19;2023-09-23
XII Encuentro Regional sobre Fiscalidad Internacional;BRASIL;barzola juan pablo;Director de Control GCN;Administración Federal de Ingresos Públicos;CIAT;2023-11-15;2023-11-19
Congreso ALASBIMN 2023;ARGENTINA;Mazzitelli Fuentes Laura Soledad;Becaria CNEA;Gerencia de Área Aplicaciones Nucleares a la Salud;CNEA;2023-11-14;2023-11-18
Reunión Regional sobre Factibilidad y Viabilidad de la Tecnología de Irradiación con Fines Cuarentenarios - RLA1021;MÉXICO;Cingolani Maria Celeste;Investigador;CNEA#MEC;Oraganismo Internacional de Energía Atómica;2023-12-03;2023-12-09
Taller Regional sobre Reasentamiento y Vías Complementarias - CRISP en Sudamérica: logros y lecciones aprendidas;BRASIL;Alfonsín Cano Anabel Beatriz;Asesora Legal;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;Organización Internacional para las Migraciones de las Naciones Unidas (OIM);2023-11-27;2023-12-01
Congreso ALASBIMN 2023;ARGENTINA;Biolatti Luisa Vanesa;Jefa Dpto. Inv. Translacional;Gerencia de Área Aplicaciones Nucleares a la Salud;CNEA;2023-11-14;2023-11-19
Reunión anual 2050 Pathways;ALEMANIA;Mitchell Florencia;Directora Nacional de Cambio Climático;Dirección Nacional de Cambio Climático;2050 Pathways;2023-05-29;2023-06-12
Reunión Ministerial sobre el Clima de Copenhague;DINAMARCA;Mitchell Florencia;Directora Nacional de Cambio Climático;Dirección Nacional de Cambio Climático;Convención Marco de Naciones Unidas sobre el Cambio Climático;2023-03-18;2023-03-22
Reuniones preparatorias para la 27va Conferencia de las Partes (COP27);REPÚBLICA DEMOCRÁTICA DEL CONGO;Mitchell Florencia;Directora Nacional de Cambio Climático;Dirección Nacional de Cambio Climático;Convención Marco de Naciones Unidas para el Cambio Climático;2022-09-30;2022-10-07
Beca de Cooperación técnica sobre Aplicaciones para tratamiento de efluentes domésticos e industriales utilizando haces de electrones y rayos X ( IAEA EVT2102843 );POLONIA;Espantoso Matias Leonardo;Investigador;Administración Pública Nacional;Organismo Internacional de Energia Atomica (OIEA);2023-11-04;2023-12-03
Congreso ALASBIMN 2023;ARGENTINA;Negrin Lara;INVESTIGADORA;Gerencia de Área Aplicaciones Nucleares a la Salud;CNEA;2023-11-14;2023-11-18
Taller expertos jurídicos para revisar modalides de descripción de áreas de importancia biológica o ecológica (EBSAs);NORUEGA;Lucero Erica Silvina;Consejera;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;Organización Naciones Unidas - Secretaría Convención Diversidad Biológica;2023-11-20;2023-11-29
TERCERA CUMBRE MUNDIAL DE SERVICIOS GUARDACOSTAS (CGCS3);JAPÓN;Vargas Adrián Alejandro;Jefe División Reglamentación;Prefectura Naval Argentina;Guardacostas de Japón - Fundación Nipona;2023-10-28;2023-11-03
Alasbimn 2023;ARGENTINA;VENIER VIRGINIA;Física médica;Gerencia de Área Aplicaciones Nucleares a la Salud;CNEA;2023-11-14;2023-11-18
"Quinta Reunión del Comité Director del Proyecto de Porte Medio del Sistema del Acuífero Guaraní ""Posibilitando Acciones Regionales"" (PPM/PAE-SAG) y del Primer Foro Latinoamericano del Agua.";BRASIL;Storani Pablo Alfredo;Director Nacional de Política Hídrica y Coordinación Federal.;MINISTERIO DE OBRAS PÚBLICAS;Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO, por sus iniciales en ingles);2023-11-20;2023-11-24
REUNION XX Aniversario de la Red Iberoamericana de Protección de Datos;GUATEMALA;de ANCHORENA BEATRIZ;TITULAR;Agencia de Acceso a la Información Pública;AEPD - Agencia Española de Protección de Datos (España), y AECID - Agencia Española de Cooperación Internacional para el Desarrollo.;2023-09-24;2023-09-27
Asistir a la LIII Reunión Ordinaria del Consejo Directivo del CLAD y participar en calidad de representante de Argentina en el XXVIII Congreso Internacional del CLAD.;CUBA;Castellani Ana Gabriela;SGYEP#JGM;Secretaría de Gestión y Empleo Público;CLAD;2023-11-19;2023-11-25
Conferencia Internacional ILCAD (International Level Crossing Awareness Day).;POLONIA;Obaid Julián Andrés;Presidente;Ministerio de Transporte;OACI;2023-06-10;2023-06-18
TAFS FORUM ABU DHABI;EMIRATOS ÁRABES UNIDOS;TAFFAREL ANA INES;ANALISTA PROFESIONAL / JEFE DE DEPARTAMENTO;Dirección General de Laboratorios y Control Técnico;TAFS;2023-11-15;2023-11-20
“Curso Regional de Capacitación para Auditores bajo el Plan de Auditorias de los Estados Miembros de la OMI (IMSAS)”;BRASIL;Garcia Carina vanesa;PREFECTO;Prefectura Naval Argentina;Organizacion Maritima Internacional;2023-11-19;2023-11-25
Segunda Reunión de Coordinación de Investigación sobre el Reciclaje de Residuos de Polímeros para Materiales Estructurales y No Estructurales Utilizando Radiaciones Ionizantes, en el marco del proyecto de investigación coordinado (CRP) F23036.;AUSTRIA;Cingolani Maria Celeste;Investigador;CNEA#MEC;Agencia Internacional de Energía Atómica;2023-11-18;2023-11-25
ROUND TABLE TAF ´S FORUM;ESPAÑA;GALDO NOVO SABRINA;COODINADOR SANIDAD ANIMAL;Dirección General de Laboratorios y Control Técnico;TAF´S;2023-11-21;2023-11-24
Invitación a evento paralelo Foro de Desarrollo Sostenible – “La sociedad del cuidado como horizonte y el Compromiso de Buenos Aires como hoja de ruta en América Latina y el Caribe”;CHILE;Calderón Maria Paulina;SECRETARIA DE POLITICAS DE IGUALDAD Y DIVERSIDAD;Ministerio de las Mujeres, Géneros y Diversidad;CEPAL;2023-04-24;2023-04-25
45th Plennary meeting Committe of Convetion +108 Strasburgo;FRANCIA;PAULERO VIOLETA;Directora Nacional de Datos Personales;Agencia de Acceso a la Información Pública;(COE) El Consejo de Europa;2023-11-13;2023-11-17
"Becaria contraparte en una capacitación en Japón en el marco del ""Proyecto sobre el Sistema de predicción numérica y comunicación de advertencia para ciudades densamente pobladas y vulnerables""";JAPÓN;Maldonado Paula Soledad;Investigador de Aplicación Científica con orientación en Modelado Numerico;Dirección Nacional de Ciencia e Innovación en Productos y Servicios;Agencia de Cooperación Internacional del Japón;2023-09-01;2023-11-17
Becaria contraparte en una capacitación en Japón en el marco del Proyecto sobre el Sistema de predicción numérica y comunicación de advertencia para ciudades densamente pobladas y vulnerables;JAPÓN;Hobouchian María Paula;Investigador de Aplicación Científica con orientación en Productos de Sensoramiento Remoto;DIRECCIÓN NACIONAL DE CIENCIA E INNOVACIÓN EN PRODUCTOS Y SERVICIOS;Agencia de Cooperación Internacional del Japón;2023-09-01;2023-11-17
Becaria contraparte en una capacitación en Japón en el marco del Proyecto sobre el Sistema de predicción numérica y comunicación de advertencia para ciudades densamente pobladas y vulnerables;JAPÓN;Arruti Gamaldi Aldana Denisse;Investigador de Aplicación Científica con orientación en Productos de Sensoramiento Remoto;DIRECCIÓN NACIONAL DE CIENCIA E INNOVACIÓN EN PRODUCTOS Y SERVICIOS;Agencia de Cooperación Internacional del Japón (JICA);2023-09-01;2023-11-16
Segunda misión técnica de Argentina a México del proyecto de cooperación bilateral “Desarrollo de capacidades de Argentina y México en el manejo del riesgo de sequías en la gestión integral de los recursos hídricos”.;MÉXICO;De Simone Silvia Noemí;Asesora en Cooperación Internacional y Desarrollo Sostenible de la Dirección Nacional de Política Hídrica y Coordinación Federal.;MINISTERIO DE OBRAS PÚBLICAS;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto de Argentina.;2023-11-05;2023-11-10
Segunda misión técnica de Argentina a México del proyecto de cooperación bilateral “Desarrollo de capacidades de Argentina y México en el manejo del riesgo de sequías en la gestión integral de los recursos hídricos”.;MÉXICO;Giraut Miguel Ángel;Analista de Gestión de Proyectos de la Dirección Nacional de Política Hídrica y Coordinación Federal.;MINISTERIO DE OBRAS PÚBLICAS;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto de Argentina.;2023-11-05;2023-11-10
Reunión de consultoría para discutir un nuevo Proyecto de Investigación Coordinada que soporta la toma de desiciones para la operación a largo plazo de reactores experimientales;AUSTRIA;Lopez Erika Vanesa;Analista de Envejecimiento TNG 421;Gerencia de Área Energía Nuclear;Organismo Internacional de Energía Atómica;2023-10-28;2023-11-04
Cierre Proyecto trabajando juntos para combatir la RAM y reunión grupo RAM CVP;BRASIL;Papaleo Mahle Gisela;a/c Dirección;Dirección Nacional de Sanidad Animal;OPS;2023-11-12;2023-11-17
CAMEVET;URUGUAY;Papaleo Mahle Gisela;a/c Dirección;Dirección Nacional de Sanidad Animal;OMSA;2023-10-30;2023-11-03
XX Aniversario de la Red Iberoamericana de Protección de Datos Personales;GUATEMALA;PAULERO VIOLETA;Directora Nacional de Protección de Datos Personales;Agencia de Acceso a la Información Pública;(AECID) Agencia Española de Cooperación Internacional para el Desarrollo;2023-09-24;2023-09-28
LXVII Reunión Extraordinaria de la Asamblea de Gobernadores del Banco Centroamericano de Integración Económica (BCIE);HONDURAS;Gorgal Leandro Adrian;Subsecretario;Ministerio de Economía;Banco Centroamericano de Integración Económica (BCIE);2023-11-16;2023-11-19
Curso de formación sobre principios generales de instalación y mantenimiento de estaciones mareográficas y trabajo con datos de nivel del mar;COSTA RICA;Toledo Pablo Ariel;Jefe División Material Naval;Servicio de Hidrografía Naval;COI - UNESCO;2023-11-12;2023-11-19
3era reunion de coordinacion (RCM) Desarrollo de membranas obtenidas por radiacion para eneria mas limpia y sustentable, en el marco del Proyecto coordinado de invetigacion CRP F22072;JAPÓN;Espantoso Matias Leonardo;Investigador;Administración Pública Nacional;Organismo Internacional de Energia Atomica;2023-10-20;2023-10-29
Cumbre Anual de Seguridad de Vuelo de la Flight Safety Foundation (IASS);FRANCIA;Obaid Julián Andrés;Presidente;Ministerio de Transporte;OACI;2023-11-04;2023-11-11
PRIMERA REUNIÓN CIENTÍFICA DE COORDINACIÓN DE PROYECTOS SOBRE EL ROL DE LA COGENERACIÓN NUCLEAR EN EL CONTEXTO DE DESARROLLO SUSTENTABLE;AUSTRIA;NASSINI DANIELA;INVESTIGADORA;Gerencia de Área Ciclo del Combustible Nuclear;IAEA;2023-11-04;2023-11-12
La “XVIII Reunión Anual del LAC Debt Group”, convoca a 26 oficinas de gestión de deuda de la región para discutir los temas más relevantes en la materia.;BRASIL;Segal Nicolás;Subsecretario de Sostenibilidad de la Deuda Pública Externa;Ministerio de Economía;BID;2023-10-29;2023-11-02
GAWTEC41;ALEMANIA;Marincovich Giselle Lujan;Investigadora;Dirección Nacional de Ciencia e Innovación en Productos y Servicios;GAWTEC y OMM;2023-10-14;2023-10-29
CURSO SOBRE GOVERNMENT FINANCE STATISTICS - ADVANCED EN ESPAÑOL, HQ23.02;ESTADOS UNIDOS;VIDAL CARINA ANDREA;COORDINADORA DE SISTEMAS CONTABLES;Ministerio de Economía;FONDO MONETARIO INTERNACIONAL - FMI;2023-10-14;2023-10-27
Sesión 59° sesión del Foro de Prácticas Fiscales Nocivas de la Organización para la Cooperación y el Desarrollo Económico (OCDE).;FRANCIA;Alunni Bonafont Alejandra Mariela;Asesora de la Subsecreataría de Ingresos Públicos;Subsecretaría de Ingresos Públicos;Organismo Internacional de Crédito BID.;2023-10-24;2023-10-28
Visita Complejo Hospitalario de Navarra - Entrenamiento en Braquiterapia HDR con Co-60;ESPAÑA;DESTRI SARA;FISICA MEDICA DE RADIOTERAPIA;GERENCIA DE ÁREA APLICACIONES NUCLEARES A LA SALUD;ELEKTA;2023-10-26;2023-11-05
evento internacional “Misión de Conocimiento y Capacitación a Silicon Valley”;ESTADOS UNIDOS;Torno Araoz Ines;Subgerenta Regional Noroeste;Comisión Nacional de Energía Atómica;Fundación Pro Salta;2023-10-28;2023-11-05
Visita Complejo Hospitalario de Navarra - Entrenamiento en Braquiterapia HDR con Co-60;ESPAÑA;BIANCHINI Sebastian;Físico Médico de Radioterapia;Gerencia de Área Aplicaciones Nucleares a la Salud;ELEKTA;2023-10-26;2023-11-05
Foro de Tesoreros de América Latina;PERÚ;Araujo Juan Carlos;Subtesorero General de la Nación;Subsecretaría de Presupuesto;BID - PROFIP;2023-10-09;2023-10-12
Visita de Estudio Puerto de Balboa;PANAMÁ;Aletta de Sylvas Tomas Jose;Jefe de División;Dirección de Investigaciones;UNODC;2023-10-23;2023-10-27
"Una Salud en las Américas; la importancia de la colaboración interinstitucional en el hemisferio y sus comunidades rurales";COSTA RICA;GUILLEN DIANA MARIA;PRESIDENTA;Servicio Nacional de Sanidad y Calidad Agroalimentaria;IICA;2023-09-11;2023-09-14
TALLER GESTION DE RIESGOS;HONDURAS;MINGONE GUSTAVO ANTONIO;CONSEJERO TECNICO;Administración Federal de Ingresos Públicos;ORGANIZACION MUNDIAL DE ADUANAS;2023-10-07;2023-10-15
TALLER REGIONAL DE DESARROLLO DE CAPACIDADES PARA LA LUCHA CONTRA EL TRAFICO ILICITO DE BIENES CULTURALES Y LA PROMOCION DE MUSEOS;BRASIL;AMIGO MARIEL ALEJANDRA;INSPECTORA ADUANERA;Subdirección General de Control Aduanero;UNESCO;2023-10-01;2023-10-05
Escuela de Tecnologías de la Radiación de la WNU;SUDÁFRICA;CINGOLANI MARIA CELESTE;Investigador principal B;CNEA#MEC;ORGANISMO INTERNACIONAL DE ENERGIA ATOMICA;2023-10-13;2023-10-29
primera reunión del proyecto coordinado de investigación F22081;FRANCIA;Garrido Juan Ignacio;Investigador;Comisión Nacional de Energía Atómica;Organismo Internacional de Energía Atómica;2023-10-20;2023-10-29
Taller Formador de Formadores del Programa A-CIP;MÉXICO;Giordano Maria Fernanda;Consejera Técnica de Fiscalización y Operativa Aduanera;Ministerio de Hacienda y Finanzas Públicas;Organización Mundial de Aduanas (OMA);2023-10-01;2023-10-07
Beca de Capacitación;CHINA;FERRARI Hugo Emilio;INVESTIGADOR;Comisión Nacional de Energía Atómica;ANSO;2023-08-12;2023-10-30
Encuentro Regional sobre Fiscalidad Internacional;BRASIL;Porporatto Pablo;Vocal;Tribunal Fiscal de la Nación;Red Latinoamericana por Justicia Económica y Social (Latindadd);2023-11-15;2023-11-19
Curso Internacional “Ingeniería Sísmica y Planeamiento para la Reducción del Riesgo de Desatres”, organizado por el CISMID, financiando por la Agencia de Cooperación Internacional del Japón –JICA;PERÚ;Morales Eduardo;Profesional Especializado;MINISTERIO DE OBRAS PÚBLICAS;Agencia de Cooperación Internacional del Japón –JICA;2023-09-30;2023-10-22
Conferencia;CHINA;Roig Alexandre;Presidente;N/D;Càmara de Comercio importaciòn y exportaciòn;2023-10-21;2023-10-26
"Workshop sobre mediciones de relación de isótopos estables de CO2 y CH4"" (Workshop on CO2 and CH4 Stable Isotope Ratio Measurements)";URUGUAY;Ruiz Maria Emilia;Investigadora de aplicación científica con orientación en físico química de la atmosfera;Dirección Nacional de Ciencia e Innovación en Productos y Servicios;Organismo Internacional de Energía Atomica;2023-10-08;2023-10-11
Observations within the Global Greenhouse Gas Watch;SUIZA;RUIZ MARIA EMILIA;iNVESTIGADORA DE APLIACION CIENTIFICA CON ORIENTACION EN FISICO QUIMICA DE LA ATMOSFERA;Dirección Nacional de Ciencia e Innovación en Productos y Servicios;ORGANIZACION METEOROLOGICA MUNDIAL;2023-10-01;2023-10-07
"Seminario Internacional ""Gestión Integrada de Recursos Hídricos: Desafíos y Oportunidades para la Región de los Lagos""";CHILE;Bertoni Juan Carlos;Presidente;Instituto Nacional del Agua;Hidrogestión;2023-10-23;2023-10-25
Taller Regional en Materia de Desplazamiento por Desastres para los Estados Parte y Estados Asociados del Mercosur.;BRASIL;Pérez Esquivel Andrés;Director de Asuntos Internacionales;Dirección Nacional de Migraciones;Platform on Disaster Displacement (PDD);2023-07-26;2023-07-30
Programa de Cooperación EUROFRONT de la Unión Europea;FRANCIA;Pérez Esquivel Andrés;Director de Asuntos Internacionales;Ministerio del Interior;Organizzazione Internazionale Italo - Latino Americana (IILA);2023-03-26;2023-04-01
OECD - IGC - US Conference on climate change, migration and displacement;FRANCIA;Perez Esquivel Andres;Director de Asuntos Internacionales;Ministerio del Interior;OIM;2023-06-19;2023-06-22
Evento de PDD y reuniones con Org. Int.;SUIZA;Pérez Esquivel Andrés;Director de Asuntos Internacionales;Ministerio del Interior;Plataforma sobre Desplazamientos por Desastres (PDD);2023-06-11;2023-06-16
17° REDIPRA;COLOMBIA;DAVINI CARLA VALERIA;COORDINADORA GENERAL DE PROGRAMAS DE SANIDAD ANIMAL;Servicio Nacional de Sanidad y Calidad Agroalimentaria;OPS;2023-10-11;2023-10-16
LATAM-Japan Hydrogen Workshop 2023;CHILE;Montiel Gonzalo;Director Nacional de Vectores Productivos Estratégicos;Dirección Nacional de Vectores Productivos Estratégicos;The Institute of Energy Economics (IEE), Japan;2023-06-11;2023-06-17
2023 IDB-KEA Training Program on Energy Manufacturing / Value Chain, Artificial Intelligence, Electromobility, Renewable Energy and Green Hydrogen;COREA DEL SUR;Montiel Gonzalo;Director Nacional de Vectores Productivos Estratégicos;Dirección Nacional de Vectores Productivos Estratégicos;Banco Interamericano de Desarrollo (BID);2023-09-02;2023-09-09
“Un sector financiero más resiliente, sostenible y competitivo para afrontar los retos del futuro”;PANAMÁ;Negri Sebastián;Presidente;Ministerio de Economía;Banco Interamericano de Desarrollo (BID);2023-10-15;2023-10-18
Reunión presencial de Coordinadores Nacionales conjuntamente con el Coordinador Internacional del Proyecto “Implementación del Programa de Acción Estratégico del Sistema Acuífero Guaraní (SAG)” (PPM/PAE-SAG).;URUGUAY;Storani Pablo Alfredo;Director Nacional de Política Hídrica y Coordinación Federal;MINISTERIO DE OBRAS PÚBLICAS;Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO, por sus iniciales en ingles);2023-10-11;2023-10-12
Taller de Tecnologías y Plataformas de Sistemas de Información Analíticos como soporte de la Gestión de Riesgos de Cumplimiento: Experiencia y Operatividad;PERÚ;RODRIGUEZ MARIANO;JEFE (Int) DEPARTAMENTO;Administración Federal de Ingresos Públicos;FMI - SECO;2023-09-19;2023-09-23
TALLER DE FORTALECIMIENTO DE REDES DE VIGILANCIA DE FAUNA SILVESTRE;BRASIL;FERRO NATALIA NOEMI;TECNICA PROFESIONAL VETERINARIA;Dirección Nacional de Sanidad Animal;OMSA (Organización Mundial de Sanidad Animal);2023-10-01;2023-10-07
"Taller ""Fortaleciendo las redes de vigilancia de Fauna Silvestre""";BRASIL;NICOLA ANA MARIA;DIRECTORA GENERAL;Servicio Nacional de Sanidad y Calidad Agroalimentaria;ORGANIZACIÓN MUNDIAL DE SANIDAD ANIMAL (OMSA);2023-10-01;2023-10-07
Seminario Técnico y II Reunión Ordinaria de la Comisión de Sanidad Animal (CSA) y V Reunión Ordinaria del Comité Veterinario Permanente del Cono Sur;BOLIVIA;MELON XIMENA;DIRECTORA NACIONAL;Servicio Nacional de Sanidad y Calidad Agroalimentaria;Comité Veterinario Permanente del Cono Sur (CVP);2023-09-19;2023-09-23
TALLER “FORTALECIENDO LAS REDES DE VIGILANCIA DE FAUNA SILVESTRE”;BRASIL;MELON XIMENA;DIRECTORA NACIONAL;Servicio Nacional de Sanidad y Calidad Agroalimentaria;OMSA;2023-10-01;2023-10-07
ME-RLA1022-2302836;PERÚ;Bellino Ariel Norberto;Jefe de Turno RA-3;MEC;OIEA;2023-08-20;2023-08-26
TALLER “FORTALECIENDO LAS REDES DE VIGILANCIA DE FAUNA SILVESTRE”;BRASIL;REA PIDCOVA VICENTE JOSÉ PABLO;ASISTENTE PROFESIONAL DEL PROGRAMA DE SANIDAD AVIAR;Servicio Nacional de Sanidad y Calidad Agroalimentaria;OMSA (ORGANISMO MUNDIAL DE SANIDAD ANIMAL);2023-10-01;2023-10-07
TALLER DE VIGILANCIA EN FAUNA SILVESTRE;BRASIL;ANGUITA MARIA JULIA;PROGRAMA ENFERMEDADES ANIMALES ACUÁTICOS;Dirección de Planificación y Estrategia de Sanidad Animal;OMSA;2023-10-01;2023-10-07
Taller: Fortaleciendo las Redes de Vigilancia de Fauna Silvestre;BRASIL;Ciano Santiago;Referente de Comunicación Institucional;Servicio Nacional de Sanidad y Calidad Agroalimentaria;OMSA (Organización Mundial de Sanidad Animal);2023-10-01;2023-10-07
Taller: Fortaleciendo las redes de vigilancia de fauna silvestre;BRASIL;MARCOS ANDREA;COORDINADORA GENERAL;Dirección Nacional de Sanidad Animal;Organización Mundial de Sanidad Animal;2023-10-01;2023-10-07
"Plataforma para el diálogo ""Mujeres líderes en espacios de poder""";MÉXICO;Rueda Alba;Subsecretaria;Unidad Gabinete de Asesores;Centro Maria Sibylla Merian de Estudios Latinoamericanos Avanzados en Humanidades y Ciencias Sociales - CALAS;2023-09-24;2023-09-27
Festival de Datos and its pre-workshops in Uruguay;URUGUAY;JUARISTI LLORENS María de las Mercedes;Directora;Instituto Nacional de Estadística y Censos;Naciones Unidas;2023-11-02;2023-11-10
Festival de Datos and its pre-workshops;URUGUAY;BASUALDO Martín Miguel;Analista de comercio exterior;Instituto Nacional de Estadística y Censos;Naciones Unidas;2023-11-02;2023-11-10
SEGUNDA VUELTA ELECCIONES EN LA REPUBLICA DE ECUADOR;ECUADOR;PAGE MARIA MARTA;ASESOSRA;Secretaría de Asuntos Políticos;Consejo Nacional Electoral de la Republica de Ecuador;2023-10-11;2023-10-18
40º IAHR World Congress;AUSTRIA;Garcia Pablo Ezequiel;Investigador;Instituto Nacional del Agua;Fundación ArgenINTA;2023-08-18;2023-08-26
Última actividad del proyecto “Desarrollo de capacidades de Argentina y Brasil en el área de gestión integrada de recursos hídricos”;BRASIL;Borús Juan Agustín;Subgerente;Instituto Nacional del Agua;Agencia Nacional de Aguas y Saneamiento Básico de Brasil (ANA);2023-07-10;2023-10-14
Curso Muestreo y Transporte de Sustancias Infecciosas;ALEMANIA;Biscotti Elma Lilia;Capitán de Navío;Instituto de Investigaciones Científicas y Técnicas para la Defensa;Oranización de las Naciones Unidas;2023-09-17;2023-09-25
“Proyecto para la predicción numérica hidrometeorológica y alerta temprana para ciudades vulnerables y densamente pobladas (PREVEN.IR);JAPÓN;Catalini Carlos Gastón;Investigador;Instituto Nacional del Agua;Japan International Cooperation Agency (JICA);2023-09-03;2023-09-16
Pasantía de investigación postdoctoral en hidroquímica e isotopía antártica;ESPAÑA;Silva Busso Adrián Ángel;Investigador;Instituto Nacional del Agua;Universidad de Málaga;2023-06-29;2023-08-13
Foro sobre Procedimientos de Acuerdo Mutuo de la OCDE;FRANCIA;Munizaga Matías;Asesor de la Dirección de Relaciones Tributarias Internacionales;Ministerio de Economía;Organismo Internacional de Crédito BID;2023-09-24;2023-09-29
Reunión de Grupo Interinstitucional y Transnacional sobre el Tráfico de Reptiles “SIG Reptiles”;BRASIL;Arribillaga Gabriela Maira;Analista de Investigación;Dirección General de Aduanas;Freeland Brasil;2023-09-24;2023-09-30
Segunda reunión de coordinación del proyecto PREVENIR;JAPÓN;Lohigorry Pedro Miguel;Coordinador de Pronósticos Inmediatos;Servicio Meteorológico Nacional;Agencia de Coorperación Internacional de Japón (JICA);2023-09-01;2023-09-17
Reunion anual del Proyecto PREVENIR;JAPÓN;Vidal Luciano;Investigador de Aplicación Científica con orientación en Productos de Sensoramiento Remoto;Servicio Meteorológico Nacional;Japan International Cooperation Agency (JICA);2023-09-01;2023-09-17
Encuentro anual SATREPS - PREVENIR;JAPÓN;D'Amen Daniela Lilian;Referente Meteorología y Sociedad;Dirección Nacional de Pronósticos y Servicios para la Sociedad;JICA;2023-09-01;2023-09-10
Proyecto Prevenit;JAPÓN;Garcia Skabar Yanina;Directora de Productos de Modelacion ambiental y de sensores remotos;Servicio Meteorológico Nacional;JICA;2023-09-01;2023-09-17
- Seminario sobre Fintech - Retos en la regulación y supervisión de sus actividades;COLOMBIA;Negri Sebastián;Presidente;Ministerio de Economía;INSTITUTO IBEROAMERICANO DE MERCADO DE VALORES;2023-09-18;2023-09-23
