evento;destino;funcionario;cargo;organismo;financiado_por;fecha_inicio;fecha_fin
Women’s Agrometeorology Leadership Workshop (14-15 April 2018), Technical Conference (16-17 April 2018) y Commission for Agricultural Meteorology (CAgM-17) of the 18th to the 20th of April.;COREA DEL SUR;FERREIRA LORENA JUDITH;JEFE AGROMETEOROLOGÍA;Servicio Meteorológico Nacional;ORGANIZACION METEOROLOGICA MUNDIAL;2018-04-11;2018-04-21
FORO DE LA BOLSA DE COMERCIO DE CÓRDOBA;ARGENTINA;LA TORRE LAURA;ASESORA;Secretaría de Coordinación Interministerial;BOLSA DE COMERCIO DE CÓRDOBA;2018-04-18;2018-04-18
Foro Bolsa de Comercio de la Provincia de Córdoba;ARGENTINA;QUINTANA MARIO EUGENIO;SECRETARIO (MINISTRO);Secretaría de Coordinación Interministerial;BOLSA DE COMERCIO DE CÓRDOBA;2018-04-18;2018-04-18
Global Summit 2018;ESTADOS UNIDOS;Bertoni Eduardo Andres;Director;Agencia de Acceso a la Información Pública;International Associations of privacy Professional (IAPP);2018-03-24;2018-03-29
Cumbre de Gobierno Abierto de México;MÉXICO;Carfi Natalia;Directora;Ministerio de Modernización;Instituto Nacional de Acceso a la Información y Protección de Datos Personales. INAI;2018-04-10;2018-04-14
Fellowship Argentina - Australia;AUSTRALIA;Violini Ingrid;Asesor;Agencia de Administración de Bienes del Estado;Department of Foreign Affairs and Trade (DFAT);2018-02-15;2018-03-18
congreso;CUBA;nills yasin omar;director;Dirección del Servicio de Conciliación Laboral Obligatoria y de Relaciones Individuales;nills yasin omar;2018-04-16;2018-04-17
3rd Latin American Ports Forum 2018;PANAMÁ;Mórtola Gonzalo Osvaldo;Intervención;Administración General de Puertos;Latin America Ports Forum;2018-04-10;2018-04-13
The Global Weather Enterprise: Opportunities and Risks;ESTADOS UNIDOS;Saulo Andrea Celeste;Directora;Ministerio de Defensa;Fondo Mundial para Reducción y la Recuperación de Desastres - Banco Mundial;2017-11-26;2017-11-30
Fellowship Argentina - Australia;AUSTRALIA;López Tarnassi Santiago José;Analista;Agencia de Administración de Bienes del Estado;Department of Foreign Affairs and Trade (DFAT);2018-02-15;2018-03-18
Fellowship Argentina - Australia;AUSTRALIA;Fernández María Belén;Asesora Presidencia;Agencia de Administración de Bienes del Estado;Department of Foreign Affairs and Trade (DFAT);2018-02-15;2018-03-18
Taller Internacional Sobre Reforma Policial;MÉXICO;Flom Hernan;Coordinador del Instituto Conjunto de Conducción Estratégica;Ministerio de Seguridad;Friedrich Ebert Stiftung Argentina;2018-04-08;2018-04-16
Fellowship Argentina - Australia;AUSTRALIA;Torresel Juan Ignacio;Director del Banco de Bienes Inmuebles;Agencia de Administración de Bienes del Estado;Department of Foreign Affairs and Trade (DFAT);2018-02-15;2018-03-18
Octava Sesión del Panel sobre Observaciones, Investigación y Servicios en Regiones Polares y de Alta Montaña (EC-PHORS-8) y Cumbre de Meteorología del Artico;FINLANDIA;Etala María Paula;Gerente a/c;Servicio Meteorológico Nacional;Organización Meteorológica Mundial;2018-03-18;2018-03-25
Sesión Especial del Directorio de CAF;PANAMÁ;Quirno Magrane Pablo;Jefe de Gabinete;MINISTERIO DE FINANZAS;CAF;2017-03-13;2017-03-15
1) Workshop Climate Risk From Assessment to Action 2) Reunión en la sede de la World Wildlife Fund (WWF);ESTADOS UNIDOS;ROSSI César Fabián;Subgerente Departamental (Responsable de Gestión de Riesgos);Ministerio de Finanzas;FUDACIÓN VIDA SILVESTRE ARGENTINA;2018-02-10;2018-02-15
Taller de Ciberseguridad en la Aviación;JAMAICA;Lopez Lio Rodrigo;Coordinador;Dirección Nacional de Infraestructura Tecnológica y Ciberseguridad;Organización de los Estados Americanos;2018-03-18;2018-03-25
CLXII Reunión del Directorio;PANAMÁ;Soto Félix Martín;Subsecretario;Subsecretaría de Relaciones Financieras Internacionales;CAF Banco de Desarrollo de América Latina;2018-03-11;2018-03-14
157a Reunión del Directorio Ejecutivo;BOLIVIA;SOTO Félix Martín;Subsecretario;Subsecretaría de Relaciones Financieras Internacionales;FONPLATA;2018-03-06;2018-03-07
Seminario “Smart Nation Initiatives” organizado conjuntamente con nuestro país y destinado a países miembros de la ASEAN.;SINGAPUR;Lubrano Jesica;Directora Nacional;Secretaria de Infraestructura Tecnológica y País Digital;Ministerio de Relaciones Exteriores y Culto;2018-02-23;2018-03-04
Study Tour in Japan for Japanese Railway System;JAPÓN;Lopez Menendez María Manuela;Secretaria de Obras;Secretaría de Obras de Transporte;Japan Overseas Railway System Association (JORSA);2018-02-16;2018-02-28
Apertura nueva Sede de ALAF en Madrid-España;ESPAÑA;Bussi German;Secretario de Planificación de Transporte;Ministerio de Transporte;Asociación Latinoamericana de Ferrocarriles (ALAF);2018-02-25;2018-03-01
Transforming Transportation;ESTADOS UNIDOS;Bussi German;Secretario de Planificación de Transporte;Ministerio de Transporte;World Bank;2018-01-09;2018-01-14
C40 FSCI Electric Bus Study Tour;ESPAÑA;MOLOUNY LUIS VICENTE;SUBSECRETARIO DE TRANSPORTE AUTOMOTOR;Ministerio de Transporte;C40;2017-11-26;2017-12-02
Taller: Gobernanza del Transporte: Integración Logística para un uso más sostenible de los Recursos Naturales en América Latina y el Caribe;CHILE;RODRIGUEZ MELGAREJO MARIANA;DIRECTORA DE PROYECTOS DE TRANSPORTE DE CARGAS INTERURBANO E INTERNACIONAL;Ministerio de Transporte;CEPAL;2017-10-29;2017-11-01
I Seminario lnternacional de Movilidad 2017;ECUADOR;Gioia Melina Irene;Directora Nacional de Planificación Estrategica y Coordinación de Transporte;Ministerio de Transporte;Gobierno Autónomo Municjpal de Portoviejo, Ecuador;2017-10-04;2017-10-09
REUNION DEL GRUPO TÉCNICO EJECUTIVO SOBRE TRANSPORTE DE CARGAS Y LOGÍSTICA;PERÚ;GARCIA NATALIA;ANALISTA;Ministerio de Transporte;BID-INTAL;2017-10-17;2017-10-20
