Descripcion;Funcionario;Cargo;Organismo;Fecha;Valor_estimado;Destino;Entregado_por
Diez (10) frascos de dulce de leche de miel Ocho (8) alfajores de maicena;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-04;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Cuello Juan Manuel
"Un (1) libro: ""Principales contenidos de la Constitución Argentina adaptada para niños""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-02;Inferior a 4 módulos.;Casa de Gobierno;Fernández Gabriela Luisa
"Un (1) libro: ""Innovación estratégica disruptiva""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-01;Inferior a 4 módulos.;Casa de Gobierno;Brom Fernando
Dos (2) cajitas de bombones;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-01;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Ciudadana
"Un (1) libro: ""La amenaza del Ciber Crimen""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-01;Inferior a 4 módulos.;Casa de Gobierno;Sánchez Gustavo Esteban
"Dos (2) libros: ""Todos somos Argentinos"" y ""Abuelo contame un cuento""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-08-01;Inferior a 4 módulos.;Casa de Gobierno;Ammar Jorge Julio
"Un (1) libro: ""Pescando en Argentina con Alvarito"" Seis (6) fotografías de la ""Fiesta del Surubí"" en Goya, Corrientes";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-31;Inferior a 4 módulos.;Casa de Gobierno;Álvarez Rodolfo Oscar
Una (1) imágen del Santo Bom Jesus de Iguape;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-31;Inferior a 4 módulos.;Casa de Gobierno;Coutinho Ribeiro Joaquim Antonio
Una (1) bolsa de café;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-31;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Café Martinez
Una (1) camiseta del Club Independiente de Tandil;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-28;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Comisión Directiva del Club Independiente de Tandil
Una (1) caja de productos Cagnoli;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-28;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Familia Cagnoli
Cuatro (4) bolsas de tomates disecados;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-28;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Dry Foods
Un (1) plato con dedicatoria al Sr. Presidente;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-27;Inferior a 4 módulos.;Casa de Gobierno;Pedro Sanchez Carlos Antunez
Un (1) cuadernillo muestrario de Agroinsumos Posadas;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-27;Inferior a 4 módulos.;Casa de Gobierno;Agroinsumos Posadas
"Un (1) libro: ""Bernabé Aráoz, el tucumano de la independencia""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-26;Inferior a 4 módulos.;Casa de Gobierno;Posse José María
"Un (1) libro: ""Medio Ambiente y Salud""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-26;Inferior a 4 módulos.;Casa de Gobierno;Duca Gladys
Una (1) caja de alfajores artesanales de chocolate Una (1) cajita con 7 bombones Una (1) canasta con dulces;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-26;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Miguel Mukdise Intendente de Termas de Rio Hondo
Una (1) placa enmarcada de la UTN - Tucumán;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-26;Inferior a 4 módulos.;Casa de Gobierno;Universidad Tecnológica Nacional - Facultad Regional Tucumán
"Un (1) libro: ""Vida y Experiencias""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-25;Inferior a 4 módulos.;Casa de Gobierno;Rostám Hiram Darío
Una (1) moldura confeccionada con azulejos del Instituto de Artes de la Universidad de Brasilia;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-21;Superior a 4 módulos o imposibilidad de determinar su valor.;Museo Casa Rosada;D. Michael Temer Sr. Presidente de la República Federativa del Brasil
"""Una (1) pulsera con la imagen de La Virgen María Un (1) pesebre pequeño de metal con base de madera""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-19;Inferior a 4 módulos.;Casa de Gobierno;Las Alondras de María Romina Cavagna
"Un (1) libro: ""La economía azul""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-18;Inferior a 4 módulos.;Casa de Gobierno;Pauli Gunter
"Una (1) revista: ""5/02"" Un (1) libro: ""UTEDYC, 10 años de gestión""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-17;Inferior a 4 módulos.;Casa de Gobierno;UTEDYC
"Un (1) catálogos de arte: ""La Porta della Bellezza""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-17;Inferior a 4 módulos.;Casa de Gobierno;Gontero Ana
Una (1) cajita con alfajores de maicena;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-17;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Convento de Schoenstatt Hermana Bárbara Bazzana
"Un (1) libro: ""Desafíos de nuestro tiempo""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-17;Inferior a 4 módulos.;Casa de Gobierno;Convento de Schoenstatt Hermana Bárbara Bazzana
"Un (1) libro: ""Yungas: paisajes y pueblos de montaña del NOA""";Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-14;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Ledesma
Una (1) revista Selecciones edición especial dedicada a Mauricio Macri;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-07-11;Inferior a 4 módulos.;Casa de Gobierno;Balbini Jorge
